timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-18,TSLA.US,call,227.0,2024-10-18,buy,14.885,34,0.0,2024-09-18
2024-09-20,MSTR.US,call,145.0,2024-10-20,buy,12.6859,50,0.0,2024-09-20
2024-09-24,MSTR.US,call,145.0,2024-10-20,close,17.3097,50,23118.9449,2024-09-20
2024-09-25,TSLA.US,call,227.0,2024-10-18,close,34.1258,34,65418.8288,2024-09-18
2024-10-15,MSTR.US,call,194.0,2024-11-14,buy,18.6855,31,0.0,2024-10-15
2024-10-16,MSTR.US,call,194.0,2024-11-14,close,18.2747,31,-1273.4608,2024-10-15
2024-11-15,TSLA.US,call,321.0,2024-12-15,buy,33.6459,16,0.0,2024-11-15
2024-11-19,TSLA.US,call,321.0,2024-12-15,close,46.7845,16,21021.7451,2024-11-15
2025-01-27,MSTR.US,call,348.0,2025-02-26,buy,41.7265,17,0.0,2025-01-27
2025-01-28,MSTR.US,call,348.0,2025-02-26,close,33.3633,17,-14217.3685,2025-01-27
2025-03-21,MSTR.US,call,304.0,2025-04-20,buy,37.9097,12,0.0,2025-03-21
2025-03-25,MSTR.US,call,304.0,2025-04-20,close,60.7288,12,27382.9889,2025-03-21
2025-03-31,TSLA.US,call,259.0,2025-04-30,buy,25.933,10,0.0,2025-03-31
2025-04-07,TSLA.US,call,259.0,2025-04-30,close,12.6012,10,-13331.7377,2025-03-31
2025-05-12,MSTR.US,call,405.0,2025-06-11,buy,47.312,16,0.0,2025-05-12
2025-05-19,MSTR.US,call,405.0,2025-06-11,close,44.3247,16,-4779.7175,2025-05-12
2025-05-30,TSLA.US,call,346.0,2025-06-29,buy,23.1803,18,0.0,2025-05-30
2025-06-02,TSLA.US,call,346.0,2025-06-29,close,20.0816,18,-5577.6782,2025-05-30
2025-06-27,MSTR.US,call,384.0,2025-07-27,buy,18.8642,15,0.0,2025-06-27
2025-07-01,MSTR.US,call,384.0,2025-07-27,close,14.9492,15,-5872.4954,2025-06-27
