timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2022-06-02,APLD.US,call,5.0,2022-06-23,buy,0.7505,500,0.0,2022-06-02
2022-06-06,APLD.US,call,5.0,2022-06-23,close,0.2452,500,-25263.9188,2022-06-02
2022-06-22,TSLA.US,call,236.0,2022-07-13,buy,19.4449,28,0.0,2022-06-22
2022-06-23,TSLA.US,call,236.0,2022-07-13,close,18.3761,28,-2992.6836,2022-06-22
2022-07-11,TSLA.US,call,234.0,2022-08-01,buy,17.0237,32,0.0,2022-07-11
2022-07-18,TSLA.US,call,234.0,2022-08-01,close,16.0604,32,-3082.4289,2022-07-11
2022-07-21,APLD.US,call,2.0,2022-08-11,buy,0.8004,500,0.0,2022-07-21
2022-07-25,APLD.US,call,2.0,2022-08-11,close,0.5284,500,-13599.7523,2022-07-21
2022-09-15,TSLA.US,call,304.0,2022-10-06,buy,12.6044,44,0.0,2022-09-15
2022-09-23,TSLA.US,call,304.0,2022-10-06,close,0.9735,44,-51175.9829,2022-09-15
2022-10-28,APLD.US,call,2.0,2022-11-18,buy,0.2973,500,0.0,2022-10-28
2022-11-01,APLD.US,call,2.0,2022-11-18,close,0.3375,500,2011.5994,2022-10-28
2022-11-02,APLD.US,call,2.0,2022-11-23,buy,0.3219,500,0.0,2022-11-02
2022-11-03,APLD.US,call,2.0,2022-11-23,close,0.3031,500,-942.2929,2022-11-02
