timestamp,delta,gamma,theta,vega,num_positions
2024-08-01,0.0,0.0,0.0,0.0,0
2024-08-02,0.0,0.0,0.0,0.0,0
2024-08-05,0.0,0.0,0.0,0.0,0
2024-08-06,0.0,0.0,0.0,0.0,0
2024-08-07,0.0,0.0,0.0,0.0,0
2024-08-08,0.0,0.0,0.0,0.0,0
2024-08-09,0.0,0.0,0.0,0.0,0
2024-08-12,0.0,0.0,0.0,0.0,0
2024-08-13,0.0,0.0,0.0,0.0,0
2024-08-14,0.0,0.0,0.0,0.0,0
2024-08-15,0.0,0.0,0.0,0.0,0
2024-08-16,0.0,0.0,0.0,0.0,0
2024-08-19,0.0,0.0,0.0,0.0,0
2024-08-20,0.0,0.0,0.0,0.0,0
2024-08-21,0.0,0.0,0.0,0.0,0
2024-08-22,0.0,0.0,0.0,0.0,0
2024-08-23,0.0,0.0,0.0,0.0,0
2024-08-26,0.0,0.0,0.0,0.0,0
2024-08-27,0.0,0.0,0.0,0.0,0
2024-08-28,0.0,0.0,0.0,0.0,0
2024-08-29,0.0,0.0,0.0,0.0,0
2024-08-30,0.0,0.0,0.0,0.0,0
2024-09-03,0.0,0.0,0.0,0.0,0
2024-09-04,0.0,0.0,0.0,0.0,0
2024-09-05,0.0,0.0,0.0,0.0,0
2024-09-06,0.0,0.0,0.0,0.0,0
2024-09-09,0.0,0.0,0.0,0.0,0
2024-09-10,0.0,0.0,0.0,0.0,0
2024-09-11,0.0,0.0,0.0,0.0,0
2024-09-12,0.0,0.0,0.0,0.0,0
2024-09-13,0.0,0.0,0.0,0.0,0
2024-09-16,0.0,0.0,0.0,0.0,0
2024-09-17,0.0,0.0,0.0,0.0,0
2024-09-18,0.0,0.0,0.0,0.0,0
2024-09-19,4293.722852,130.486422,-1878.559009,1258.0983,1
2024-09-20,4786.340229,132.70272,-1840.819668,1217.5705,1
2024-09-23,11599.349962,589.487399,-3363.496684,2227.882152,2
2024-09-24,12064.140119,596.637716,-3405.189641,2139.458221,2
2024-09-25,27005.31862,18298.498614,-1970.547406,1414.697699,2
2024-09-26,39010.812138,17189.921043,-1768.397031,963.779821,2
2024-09-27,54697.091755,5901.741024,-1783.948566,855.897754,2
2024-09-30,0.0,0.0,0.0,0.0,0
2024-10-01,29327.342997,11051.888416,-844.544545,381.664712,1
2024-10-02,38637.060785,7314.12218,-815.578332,324.767544,1
2024-10-03,39387.12558,7338.331886,-793.428039,306.02682,1
2024-10-04,40259.719436,7285.783513,-764.355455,284.837372,1
2024-10-07,0.0,0.0,0.0,0.0,0
2024-10-08,0.0,0.0,0.0,0.0,0
2024-10-09,0.0,0.0,0.0,0.0,0
2024-10-10,32885.131269,9641.106726,-3105.637857,1840.9964,2
2024-10-11,33040.753414,7873.964457,-1103.184796,456.734429,1
2024-10-14,34805.95711,8022.534668,-1163.413665,409.053917,1
2024-10-15,38780.641523,9681.665857,-2948.157586,1651.120979,2
2024-10-16,51954.495943,4521.187086,-2690.945102,1413.101389,2
2024-10-17,44644.278641,3749.531455,-868.602522,225.804651,1
2024-10-18,47350.046201,2154.231132,-583.999727,135.573309,1
2024-10-21,49601.022571,441.033669,-203.110368,26.715574,1
2024-10-22,49791.092563,257.632772,-149.758338,14.516862,1
2024-10-23,56188.862749,597.473808,-1839.571741,1204.053083,2
2024-10-24,49971.661767,44.676157,-84.283138,2.170895,1
2024-10-25,49998.738664,2.396845,-69.445549,0.117298,1
2024-10-28,49999.999986,5.4e-05,-68.465034,1e-06,1
2024-10-29,49999.999999,6e-06,-68.474391,0.0,1
2024-10-30,50000.0,0.0,-68.483769,0.0,1
2024-10-31,0.0,0.0,0.0,0.0,0
2024-11-01,0.0,0.0,0.0,0.0,0
2024-11-04,0.0,0.0,0.0,0.0,0
2024-11-05,0.0,0.0,0.0,0.0,0
2024-11-06,0.0,0.0,0.0,0.0,0
2024-11-07,0.0,0.0,0.0,0.0,0
2024-11-08,0.0,0.0,0.0,0.0,0
2024-11-11,0.0,0.0,0.0,0.0,0
2024-11-12,0.0,0.0,0.0,0.0,0
2024-11-13,0.0,0.0,0.0,0.0,0
2024-11-14,0.0,0.0,0.0,0.0,0
2024-11-15,0.0,0.0,0.0,0.0,0
2024-11-18,0.0,0.0,0.0,0.0,0
2024-11-19,0.0,0.0,0.0,0.0,0
2024-11-20,0.0,0.0,0.0,0.0,0
2024-11-21,0.0,0.0,0.0,0.0,0
2024-11-22,0.0,0.0,0.0,0.0,0
2024-11-25,7083.696108,457.599837,-1450.048491,1279.932264,1
2024-11-26,5780.514785,488.700372,-1406.75749,1215.963178,1
2024-11-27,0.0,0.0,0.0,0.0,0
2024-11-29,0.0,0.0,0.0,0.0,0
2024-12-02,0.0,0.0,0.0,0.0,0
2024-12-03,0.0,0.0,0.0,0.0,0
2024-12-04,0.0,0.0,0.0,0.0,0
2024-12-05,0.0,0.0,0.0,0.0,0
2024-12-06,0.0,0.0,0.0,0.0,0
2024-12-09,0.0,0.0,0.0,0.0,0
2024-12-10,2522.637811,126.622504,-742.003721,787.53723,1
2024-12-11,3726.776244,84.937137,-689.988886,615.145707,1
2024-12-12,3516.791895,97.340261,-753.444594,650.926075,1
2024-12-13,4606.218925,11.426315,-528.654562,208.046334,1
2024-12-16,4766.105497,2.381412,-236.006632,47.771544,1
2024-12-17,4739.190367,4.201482,-320.645435,73.928524,1
2024-12-18,6358.61487,391.643965,-1467.835648,1189.732399,1
2024-12-19,0.0,0.0,0.0,0.0,0
2024-12-20,0.0,0.0,0.0,0.0,0
2024-12-23,0.0,0.0,0.0,0.0,0
2024-12-24,0.0,0.0,0.0,0.0,0
2024-12-26,0.0,0.0,0.0,0.0,0
2024-12-27,0.0,0.0,0.0,0.0,0
2024-12-30,0.0,0.0,0.0,0.0,0
2024-12-31,0.0,0.0,0.0,0.0,0
2025-01-02,0.0,0.0,0.0,0.0,0
2025-01-03,0.0,0.0,0.0,0.0,0
2025-01-06,0.0,0.0,0.0,0.0,0
2025-01-07,0.0,0.0,0.0,0.0,0
2025-01-08,0.0,0.0,0.0,0.0,0
2025-01-10,0.0,0.0,0.0,0.0,0
2025-01-13,0.0,0.0,0.0,0.0,0
2025-01-14,0.0,0.0,0.0,0.0,0
2025-01-15,0.0,0.0,0.0,0.0,0
2025-01-16,0.0,0.0,0.0,0.0,0
2025-01-17,0.0,0.0,0.0,0.0,0
2025-01-21,0.0,0.0,0.0,0.0,0
2025-01-22,0.0,0.0,0.0,0.0,0
2025-01-23,0.0,0.0,0.0,0.0,0
2025-01-24,0.0,0.0,0.0,0.0,0
2025-01-27,0.0,0.0,0.0,0.0,0
2025-01-28,0.0,0.0,0.0,0.0,0
2025-01-29,0.0,0.0,0.0,0.0,0
2025-01-30,0.0,0.0,0.0,0.0,0
2025-01-31,0.0,0.0,0.0,0.0,0
2025-02-03,0.0,0.0,0.0,0.0,0
2025-02-04,0.0,0.0,0.0,0.0,0
2025-02-05,0.0,0.0,0.0,0.0,0
2025-02-06,0.0,0.0,0.0,0.0,0
2025-02-07,0.0,0.0,0.0,0.0,0
2025-02-10,0.0,0.0,0.0,0.0,0
2025-02-11,0.0,0.0,0.0,0.0,0
2025-02-12,0.0,0.0,0.0,0.0,0
2025-02-13,0.0,0.0,0.0,0.0,0
2025-02-14,0.0,0.0,0.0,0.0,0
2025-02-18,0.0,0.0,0.0,0.0,0
2025-02-19,0.0,0.0,0.0,0.0,0
2025-02-20,0.0,0.0,0.0,0.0,0
2025-02-21,0.0,0.0,0.0,0.0,0
2025-02-24,0.0,0.0,0.0,0.0,0
2025-02-25,0.0,0.0,0.0,0.0,0
2025-02-26,0.0,0.0,0.0,0.0,0
2025-02-27,0.0,0.0,0.0,0.0,0
2025-02-28,0.0,0.0,0.0,0.0,0
2025-03-03,0.0,0.0,0.0,0.0,0
2025-03-04,0.0,0.0,0.0,0.0,0
2025-03-05,0.0,0.0,0.0,0.0,0
2025-03-06,0.0,0.0,0.0,0.0,0
2025-03-07,0.0,0.0,0.0,0.0,0
2025-03-10,0.0,0.0,0.0,0.0,0
2025-03-11,0.0,0.0,0.0,0.0,0
2025-03-12,0.0,0.0,0.0,0.0,0
2025-03-13,0.0,0.0,0.0,0.0,0
2025-03-14,0.0,0.0,0.0,0.0,0
2025-03-17,0.0,0.0,0.0,0.0,0
2025-03-18,0.0,0.0,0.0,0.0,0
2025-03-19,0.0,0.0,0.0,0.0,0
2025-03-20,0.0,0.0,0.0,0.0,0
2025-03-21,0.0,0.0,0.0,0.0,0
2025-03-24,0.0,0.0,0.0,0.0,0
2025-03-25,0.0,0.0,0.0,0.0,0
2025-03-26,0.0,0.0,0.0,0.0,0
2025-03-27,0.0,0.0,0.0,0.0,0
2025-03-28,0.0,0.0,0.0,0.0,0
2025-03-31,0.0,0.0,0.0,0.0,0
2025-04-01,0.0,0.0,0.0,0.0,0
2025-04-02,0.0,0.0,0.0,0.0,0
2025-04-03,0.0,0.0,0.0,0.0,0
2025-04-04,0.0,0.0,0.0,0.0,0
2025-04-07,0.0,0.0,0.0,0.0,0
2025-04-08,0.0,0.0,0.0,0.0,0
2025-04-09,0.0,0.0,0.0,0.0,0
2025-04-10,0.0,0.0,0.0,0.0,0
2025-04-11,0.0,0.0,0.0,0.0,0
2025-04-14,0.0,0.0,0.0,0.0,0
2025-04-15,0.0,0.0,0.0,0.0,0
2025-04-16,0.0,0.0,0.0,0.0,0
2025-04-17,0.0,0.0,0.0,0.0,0
2025-04-21,0.0,0.0,0.0,0.0,0
2025-04-22,0.0,0.0,0.0,0.0,0
2025-04-23,0.0,0.0,0.0,0.0,0
2025-04-24,0.0,0.0,0.0,0.0,0
2025-04-25,0.0,0.0,0.0,0.0,0
2025-04-28,0.0,0.0,0.0,0.0,0
2025-04-29,0.0,0.0,0.0,0.0,0
2025-04-30,0.0,0.0,0.0,0.0,0
2025-05-01,0.0,0.0,0.0,0.0,0
2025-05-02,0.0,0.0,0.0,0.0,0
2025-05-05,0.0,0.0,0.0,0.0,0
2025-05-06,0.0,0.0,0.0,0.0,0
2025-05-07,0.0,0.0,0.0,0.0,0
2025-05-08,0.0,0.0,0.0,0.0,0
2025-05-09,0.0,0.0,0.0,0.0,0
2025-05-12,0.0,0.0,0.0,0.0,0
2025-05-13,0.0,0.0,0.0,0.0,0
2025-05-14,0.0,0.0,0.0,0.0,0
2025-05-15,0.0,0.0,0.0,0.0,0
2025-05-16,0.0,0.0,0.0,0.0,0
2025-05-19,0.0,0.0,0.0,0.0,0
2025-05-20,0.0,0.0,0.0,0.0,0
2025-05-21,0.0,0.0,0.0,0.0,0
2025-05-22,0.0,0.0,0.0,0.0,0
2025-05-23,0.0,0.0,0.0,0.0,0
2025-05-27,0.0,0.0,0.0,0.0,0
2025-05-28,0.0,0.0,0.0,0.0,0
2025-05-29,0.0,0.0,0.0,0.0,0
2025-05-30,0.0,0.0,0.0,0.0,0
2025-06-02,0.0,0.0,0.0,0.0,0
2025-06-03,0.0,0.0,0.0,0.0,0
2025-06-04,0.0,0.0,0.0,0.0,0
2025-06-05,0.0,0.0,0.0,0.0,0
2025-06-06,0.0,0.0,0.0,0.0,0
