timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2020-02-13,MU.US,call,59.0,2020-03-05,buy,2.5819,253,0.0,2020-02-13
2020-02-19,MU.US,call,59.0,2020-03-05,close,2.6165,253,875.2258,2020-02-13
2020-02-20,MU.US,call,59.0,2020-03-12,buy,2.0383,226,0.0,2020-02-20
2020-02-24,MU.US,call,59.0,2020-03-12,close,0.5125,226,-34482.6874,2020-02-20
2020-03-27,MU.US,call,43.0,2020-04-17,buy,5.0227,74,0.0,2020-03-27
2020-03-30,MU.US,call,43.0,2020-04-17,close,5.2962,74,2024.3957,2020-03-27
2020-04-13,MU.US,call,46.0,2020-05-04,buy,5.4555,84,0.0,2020-04-13
2020-04-14,MU.US,call,46.0,2020-05-04,close,6.168,84,5985.605,2020-04-13
2020-04-15,MU.US,call,46.0,2020-05-06,buy,5.5655,90,0.0,2020-04-15
2020-04-21,MU.US,call,46.0,2020-05-06,close,2.1795,90,-30473.8628,2020-04-15
2020-04-30,MU.US,call,48.0,2020-05-21,buy,3.5183,97,0.0,2020-04-30
2020-05-05,MU.US,call,48.0,2020-05-21,close,1.9319,97,-15388.1673,2020-04-30
