timestamp,code,side,price,qty,reason,pnl,holding_days,return_pct
2024-07-31,MU.US,buy,110.2551,22.67,signal,0.0,0,0.0
2024-07-31,MU.US,sell,109.7451,22.67,signal,-11.5616,0,-0.46
2024-08-01,MU.US,buy,105.0425,23.77,signal,0.0,0,0.0
2024-08-01,MU.US,sell,103.3983,23.77,signal,-39.0831,0,-1.57
2024-08-09,MU.US,buy,93.4767,26.61,signal,0.0,0,0.0
2024-08-09,MU.US,sell,93.933,26.61,signal,12.1421,0,0.49
2024-08-20,TSLA.US,buy,221.1705,14.08,signal,0.0,0,0.0
2024-08-22,TSLA.US,sell,220.3298,14.08,signal,-11.8377,1,-0.38
2024-08-20,SPY.US,buy,558.239,5.58,signal,0.0,0,0.0
2024-08-22,SPY.US,sell,555.5521,5.58,signal,-14.9929,2,-0.48
2024-09-06,APLD.US,buy,4.6073,611.86,signal,0.0,0,0.0
2024-09-06,APLD.US,sell,4.6141,611.86,signal,4.1539,0,0.15
2024-09-12,MU.US,buy,86.6763,28.67,signal,0.0,0,0.0
2024-09-13,MU.US,sell,91.2643,28.67,signal,131.5386,1,5.29
