timestamp,equity,cash,positions_value
2024-08-01,10000.0,10000.0,0.0
2024-08-02,10000.0,10000.0,0.0
2024-08-05,10000.0,10000.0,0.0
2024-08-06,10000.0,10000.0,0.0
2024-08-07,10000.0,10000.0,0.0
2024-08-08,10000.0,10000.0,0.0
2024-08-09,10000.0,10000.0,0.0
2024-08-12,10000.0,10000.0,0.0
2024-08-13,10000.0,10000.0,0.0
2024-08-14,10000.0,10000.0,0.0
2024-08-15,10000.0,10000.0,0.0
2024-08-16,10000.0,10000.0,0.0
2024-08-19,10000.0,10000.0,0.0
2024-08-20,10000.0,10000.0,0.0
2024-08-21,10000.0,10000.0,0.0
2024-08-22,10000.0,10000.0,0.0
2024-08-23,10000.0,10000.0,0.0
2024-08-26,10000.0,10000.0,0.0
2024-08-27,10000.0,10000.0,0.0
2024-08-28,10000.0,10000.0,0.0
2024-08-29,10000.0,10000.0,0.0
2024-08-30,10000.0,10000.0,0.0
2024-09-03,10000.0,10000.0,0.0
2024-09-04,10000.0,10000.0,0.0
2024-09-05,10000.0,10000.0,0.0
2024-09-06,10000.0,10000.0,0.0
2024-09-09,10000.0,10000.0,0.0
2024-09-10,10000.0,10000.0,0.0
2024-09-11,10000.0,10000.0,0.0
2024-09-12,10000.0,10000.0,0.0
2024-09-13,10000.0,10000.0,0.0
2024-09-16,10000.0,10000.0,0.0
2024-09-17,10000.0,10000.0,0.0
2024-09-18,10000.0,10000.0,0.0
2024-09-19,9995.9996,5995.6093,4000.3903
2024-09-20,10584.172,5995.6093,4588.5627
2024-09-23,10749.7564,5995.6093,4754.1471
2024-09-24,11152.9097,5995.6093,5157.3004
2024-09-25,11150.9655,5452.8299,5698.1355
2024-09-26,15941.3261,5452.8299,10488.4962
2024-09-27,44147.6654,5452.8299,38694.8355
2024-09-30,27607.8312,27607.8312,0.0
2024-10-01,27595.7608,15525.3764,12070.3844
2024-10-02,38724.0426,15525.3764,23198.6661
2024-10-03,38869.9059,15525.3764,23344.5294
2024-10-04,39164.4869,15525.3764,23639.1105
2024-10-07,35550.3565,35550.3565,0.0
2024-10-08,35550.3565,35550.3565,0.0
2024-10-09,35550.3565,35550.3565,0.0
2024-10-10,35532.5714,17747.4622,17785.1091
2024-10-11,46819.668,17747.4622,29072.2058
2024-10-14,48047.9898,17747.4622,30300.5276
2024-10-15,41857.7329,17747.4622,24110.2707
2024-10-16,74479.2102,17747.4622,56731.748
2024-10-17,78061.1763,17747.4622,60313.714
2024-10-18,94430.4626,17747.4622,76683.0003
2024-10-21,126266.8676,17747.4622,108519.4053
2024-10-22,131828.0528,17747.4622,114080.5906
2024-10-23,125659.6052,17747.4622,107912.143
2024-10-24,147589.9588,17747.4622,129842.4966
2024-10-25,175926.2361,17747.4622,158178.7739
2024-10-28,195127.7186,17747.4622,177380.2564
2024-10-29,170807.6403,17747.4622,153060.1781
2024-10-30,173727.5751,17747.4622,155980.1128
2024-10-31,131928.4562,131928.4562,0.0
2024-11-01,131928.4562,131928.4562,0.0
2024-11-04,131928.4562,131928.4562,0.0
2024-11-05,131928.4562,131928.4562,0.0
2024-11-06,131928.4562,131928.4562,0.0
2024-11-07,131928.4562,131928.4562,0.0
2024-11-08,131928.4562,131928.4562,0.0
2024-11-11,131928.4562,131928.4562,0.0
2024-11-12,131928.4562,131928.4562,0.0
2024-11-13,131928.4562,131928.4562,0.0
2024-11-14,131928.4562,131928.4562,0.0
2024-11-15,131928.4562,131928.4562,0.0
2024-11-18,131928.4562,131928.4562,0.0
2024-11-19,131928.4562,131928.4562,0.0
2024-11-20,131928.4562,131928.4562,0.0
2024-11-21,131928.4562,131928.4562,0.0
2024-11-22,131928.4562,131928.4562,0.0
2024-11-25,131862.7118,66118.3516,65744.3603
2024-11-26,111193.081,66118.3516,45074.7294
2024-11-27,89968.9757,89968.9757,0.0
2024-11-29,89968.9757,89968.9757,0.0
2024-12-02,89968.9757,89968.9757,0.0
2024-12-03,89968.9757,89968.9757,0.0
2024-12-04,89968.9757,89968.9757,0.0
2024-12-05,89968.9757,89968.9757,0.0
2024-12-06,89968.9757,89968.9757,0.0
2024-12-09,89968.9757,89968.9757,0.0
2024-12-10,89936.908,57869.2248,32067.6832
2024-12-11,130404.3936,57869.2248,72535.1688
2024-12-12,119633.9743,57869.2248,61764.7495
2024-12-13,337919.9576,57869.2248,280050.7328
2024-12-16,465804.0505,57869.2248,407934.8257
2024-12-17,415280.419,57869.2248,357411.1942
2024-12-18,330423.0619,166894.3417,163528.7202
2024-12-19,201190.6969,201190.6969,0.0
2024-12-20,201190.6969,201190.6969,0.0
2024-12-23,201190.6969,201190.6969,0.0
2024-12-24,201190.6969,201190.6969,0.0
2024-12-26,201190.6969,201190.6969,0.0
2024-12-27,201190.6969,201190.6969,0.0
2024-12-30,201190.6969,201190.6969,0.0
2024-12-31,201190.6969,201190.6969,0.0
2025-01-02,201190.6969,201190.6969,0.0
2025-01-03,201190.6969,201190.6969,0.0
2025-01-06,201190.6969,201190.6969,0.0
2025-01-07,201190.6969,201190.6969,0.0
2025-01-08,201190.6969,201190.6969,0.0
2025-01-10,201190.6969,201190.6969,0.0
2025-01-13,201190.6969,201190.6969,0.0
2025-01-14,201190.6969,201190.6969,0.0
2025-01-15,201190.6969,201190.6969,0.0
2025-01-16,201190.6969,201190.6969,0.0
2025-01-17,201190.6969,201190.6969,0.0
2025-01-21,201190.6969,201190.6969,0.0
2025-01-22,201190.6969,201190.6969,0.0
2025-01-23,201190.6969,201190.6969,0.0
2025-01-24,201190.6969,201190.6969,0.0
2025-01-27,201190.6969,201190.6969,0.0
2025-01-28,201190.6969,201190.6969,0.0
2025-01-29,201190.6969,201190.6969,0.0
2025-01-30,201190.6969,201190.6969,0.0
2025-01-31,201190.6969,201190.6969,0.0
2025-02-03,201190.6969,201190.6969,0.0
2025-02-04,201190.6969,201190.6969,0.0
2025-02-05,201190.6969,201190.6969,0.0
2025-02-06,201190.6969,201190.6969,0.0
2025-02-07,201190.6969,201190.6969,0.0
2025-02-10,201190.6969,201190.6969,0.0
