timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-19,AVGO.US,call,167.0,2024-10-10,buy,10.001,4,0.0,2024-09-19
2024-09-25,AVGO.US,call,167.0,2024-10-10,close,12.9156,4,1165.8302,2024-09-19
2024-09-25,IONQ.US,call,8.0,2024-10-16,buy,0.2726,209,0.0,2024-09-25
2024-09-30,IONQ.US,call,8.0,2024-10-16,close,1.0611,209,16479.0429,2024-09-25
2024-10-01,IONQ.US,call,8.0,2024-10-22,buy,0.7941,152,0.0,2024-10-01
2024-10-07,IONQ.US,call,8.0,2024-10-22,close,1.3188,152,7974.6407,2024-10-01
2024-10-10,IONQ.US,call,10.0,2024-10-31,buy,0.7835,227,0.0,2024-10-10
2024-10-31,IONQ.US,call,10.0,2024-10-31,exercise,5.03,227,96395.8848,2024-10-10
2024-11-25,MU.US,call,104.0,2024-12-16,buy,4.8341,136,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-16,close,1.7555,136,-41869.8617,2024-11-25
2024-12-10,AVGO.US,call,172.0,2024-12-31,buy,6.1669,52,0.0,2024-12-10
2024-12-18,AVGO.US,call,172.0,2024-12-31,close,52.4981,52,240922.6729,2024-12-10
2024-12-18,MU.US,call,104.0,2025-01-08,buy,4.9554,330,0.0,2024-12-18
2024-12-19,MU.US,call,104.0,2025-01-08,close,1.0403,330,-129198.0342,2024-12-18
2025-02-11,HOOD.US,call,53.0,2025-03-04,buy,3.211,312,0.0,2025-02-11
2025-02-18,HOOD.US,call,53.0,2025-03-04,close,8.2179,312,156217.1618,2025-02-11
2025-02-18,MU.US,call,107.0,2025-03-11,buy,6.8867,187,0.0,2025-02-18
2025-02-20,MU.US,call,107.0,2025-03-11,close,4.2298,187,-49684.249,2025-02-18
2025-02-24,MU.US,call,95.0,2025-03-17,buy,6.0139,165,0.0,2025-02-24
2025-02-26,MU.US,call,95.0,2025-03-17,close,7.1108,165,18098.7975,2025-02-24
2025-05-30,AVGO.US,call,242.0,2025-06-20,buy,8.6799,187,0.0,2025-05-30
2025-06-09,AVGO.US,call,242.0,2025-06-20,close,7.1905,187,-27851.7157,2025-05-30
2025-06-25,MU.US,call,127.0,2025-07-16,buy,4.3487,340,0.0,2025-06-25
2025-06-30,MU.US,call,127.0,2025-07-16,close,1.8647,340,-84452.8289,2025-06-25
2025-07-08,HOOD.US,call,91.0,2025-07-29,buy,5.3781,172,0.0,2025-07-08
2025-07-09,HOOD.US,call,91.0,2025-07-29,close,7.1379,172,30269.962,2025-07-08
2025-07-11,HOOD.US,call,98.0,2025-08-01,buy,5.7223,211,0.0,2025-07-11
2025-07-14,HOOD.US,call,98.0,2025-08-01,close,6.1547,211,9124.5765,2025-07-11
2025-08-13,HOOD.US,call,109.0,2025-09-03,buy,5.2189,240,0.0,2025-08-13
2025-08-14,HOOD.US,call,109.0,2025-09-03,close,5.9939,240,18599.0658,2025-08-13
2025-08-15,AVGO.US,call,306.0,2025-09-05,buy,8.5991,156,0.0,2025-08-15
2025-08-18,AVGO.US,call,306.0,2025-09-05,close,7.628,156,-15149.73,2025-08-15
2025-08-21,MU.US,call,116.0,2025-09-11,buy,5.0497,251,0.0,2025-08-21
2025-08-27,MU.US,call,116.0,2025-09-11,close,5.0426,251,-178.1008,2025-08-21
2025-09-02,MU.US,call,118.0,2025-09-23,buy,5.2694,240,0.0,2025-09-02
2025-09-03,MU.US,call,118.0,2025-09-23,close,5.1119,240,-3779.9037,2025-09-02
2025-10-22,MU.US,call,198.0,2025-11-12,buy,11.2332,110,0.0,2025-10-22
2025-10-23,MU.US,call,198.0,2025-11-12,close,15.5163,110,47114.4348,2025-10-22
2025-12-09,AVGO.US,call,406.0,2025-12-30,buy,19.2555,76,0.0,2025-12-09
2025-12-12,AVGO.US,call,406.0,2025-12-30,close,4.8671,76,-109352.0431,2025-12-09
2025-12-12,MU.US,call,241.0,2026-01-02,buy,17.3765,45,0.0,2025-12-12
2025-12-16,MU.US,call,241.0,2026-01-02,close,11.1914,45,-27833.3855,2025-12-12
2026-01-20,MU.US,call,365.0,2026-02-10,buy,24.4312,32,0.0,2026-01-20
2026-01-26,MU.US,call,365.0,2026-02-10,close,35.9026,32,36708.4804,2026-01-20
2026-02-24,MU.US,call,418.0,2026-03-17,buy,26.9821,20,0.0,2026-02-24
2026-02-25,MU.US,call,418.0,2026-03-17,close,32.6854,20,11406.7641,2026-02-24
2026-03-13,MU.US,call,426.0,2026-04-03,buy,29.723,19,0.0,2026-03-13
2026-03-23,MU.US,call,426.0,2026-04-03,close,10.1863,19,-37119.7831,2026-03-13
2026-05-18,MU.US,call,682.0,2026-06-08,buy,53.0098,9,0.0,2026-05-18
2026-05-19,MU.US,call,682.0,2026-06-08,close,61.3439,9,7500.748,2026-05-18
2026-06-05,HOOD.US,call,82.0,2026-06-26,buy,6.6842,102,0.0,2026-06-05
2026-06-09,HOOD.US,call,82.0,2026-06-26,close,6.8066,102,1248.5271,2026-06-05
2026-06-24,MU.US,call,1049.0,2026-07-15,buy,116.1594,4,0.0,2026-06-24
2026-06-30,MU.US,call,1049.0,2026-07-15,close,168.3143,4,20861.9518,2026-06-24
