code,entry_ts,pnl,return_pct,win,qqq_trend,mag7_ge4,mag7_ge5,strong,qqq_and_mag7,full,drop_APLD.US,drop_IONQ.US,drop_MU.US,drop_TSLA.US,above_sma20,vol_expand,local_macd_green,ret5_pos,tech,tech_vol,regime_tech,strong_tech
APLD.US,2025-02-20,93747.3801,8.44,1.0,True,False,False,False,False,False,False,True,True,True,True,True,True,True,True,True,True,False
APLD.US,2025-05-13,146793.2318,11.26,1.0,True,True,True,True,True,True,False,True,True,True,True,True,False,True,False,False,False,False
APLD.US,2025-10-07,24698.1362,3.03,1.0,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True
APLD.US,2025-10-29,-7933.7054,-1.0,0.0,True,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False
APLD.US,2026-01-08,39362.3071,19.66,1.0,True,True,False,False,True,True,False,True,True,True,True,True,True,True,True,True,True,False
APLD.US,2026-04-09,12335.6005,0.81,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-14,784.2979,0.32,1.0,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True,True
APLD.US,2026-04-20,46677.7126,2.41,1.0,True,True,True,True,True,True,False,True,True,True,True,False,True,True,True,False,True,True
IONQ.US,2024-09-24,-18737.996,-1.71,0.0,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False
IONQ.US,2025-04-28,12672.2395,2.83,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
IONQ.US,2025-05-16,31875.514,2.17,1.0,False,True,True,False,False,False,True,False,True,True,True,False,False,True,False,False,False,False
IONQ.US,2025-09-22,17456.3586,1.18,1.0,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True,True
IONQ.US,2026-05-08,150102.1469,16.47,1.0,True,True,True,True,True,True,True,False,True,True,True,True,False,True,False,False,False,False
IONQ.US,2026-06-01,24268.7955,1.02,1.0,True,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True
MU.US,2024-09-16,5956.9229,1.1,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False
MU.US,2024-09-18,0.0172,1.97,1.0,True,True,True,True,True,True,True,True,False,True,False,False,True,True,False,False,False,False
MU.US,2024-09-20,0.0411,4.6,1.0,True,True,True,True,True,True,True,True,False,True,False,True,True,True,False,False,False,False
MU.US,2024-09-25,154599.6388,14.33,1.0,True,True,True,True,True,True,True,True,False,True,True,True,True,True,True,True,True,True
MU.US,2024-10-15,60958.8673,4.94,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2024-11-08,-54091.268,-4.18,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2024-12-04,7201.6649,0.78,1.0,True,True,True,True,True,True,True,True,False,True,False,True,False,False,False,False,False,False
MU.US,2024-12-05,0.0182,1.8,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-22,-4101.8843,-0.59,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-23,15373.9258,1.26,1.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-01-23,-35661.0595,-2.89,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
MU.US,2025-02-07,27208.1097,2.85,1.0,True,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False
MU.US,2025-04-28,-35858.4525,-2.72,0.0,True,True,True,True,True,True,True,True,False,True,True,False,True,True,True,False,True,True
