timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-11-25,MU.US,call,104.0,2024-12-16,buy,4.8341,30,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-16,close,1.7555,30,-9235.9989,2024-11-25
2025-02-10,IONQ.US,call,41.0,2025-03-03,buy,7.6286,50,0.0,2025-02-10
2025-02-11,IONQ.US,call,41.0,2025-03-03,close,5.565,50,-10317.7454,2025-02-10
2025-02-11,HOOD.US,call,53.0,2025-03-04,buy,3.211,50,0.0,2025-02-11
2025-02-13,HOOD.US,call,53.0,2025-03-04,close,11.3953,50,40921.4316,2025-02-11
2025-05-06,IONQ.US,call,29.0,2025-05-27,buy,3.2058,50,0.0,2025-05-06
2025-05-07,IONQ.US,call,29.0,2025-05-27,close,2.9686,50,-1186.0902,2025-05-06
2025-05-30,AVGO.US,call,242.0,2025-06-20,buy,8.6799,12,0.0,2025-05-30
2025-06-04,AVGO.US,call,242.0,2025-06-20,close,20.7321,12,14462.6614,2025-05-30
2025-06-25,MU.US,call,127.0,2025-07-16,buy,4.3487,23,0.0,2025-06-25
2025-06-30,MU.US,call,127.0,2025-07-16,close,1.8647,23,-5712.9855,2025-06-25
2025-07-08,HOOD.US,call,91.0,2025-07-29,buy,5.3781,27,0.0,2025-07-08
2025-07-09,HOOD.US,call,91.0,2025-07-29,close,7.1379,27,4751.6801,2025-07-08
2025-07-11,IONQ.US,call,42.0,2025-08-01,buy,3.0869,50,0.0,2025-07-11
2025-07-11,HOOD.US,call,98.0,2025-08-01,buy,5.7223,28,0.0,2025-07-11
2025-07-14,HOOD.US,call,98.0,2025-08-01,close,6.1547,28,1210.8443,2025-07-11
2025-07-15,IONQ.US,call,42.0,2025-08-01,close,2.3228,50,-3820.7023,2025-07-11
