timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2024-09-19,AVGO.US,call,167.0,2024-10-10,buy,10.001,31,0.0,2024-09-19
2024-09-25,IONQ.US,call,8.0,2024-10-16,buy,0.2726,100,0.0,2024-09-25
2024-09-25,AVGO.US,call,167.0,2024-10-10,close,12.9156,31,9035.1842,2024-09-19
2024-09-27,IONQ.US,call,8.0,2024-10-16,close,1.8514,100,15787.8947,2024-09-25
2024-10-01,IONQ.US,call,8.0,2024-10-22,buy,0.7941,100,0.0,2024-10-01
2024-10-02,IONQ.US,call,8.0,2024-10-22,close,1.5262,100,7321.238,2024-10-01
2024-10-10,IONQ.US,call,10.0,2024-10-31,buy,0.7835,100,0.0,2024-10-10
2024-10-10,MU.US,call,106.0,2024-10-31,buy,6.0755,58,0.0,2024-10-10
2024-10-11,MU.US,call,106.0,2024-10-31,close,6.5948,58,3012.0423,2024-10-10
2024-10-14,IONQ.US,call,10.0,2024-10-31,close,1.3348,100,5513.4002,2024-10-10
2024-10-15,MU.US,call,104.0,2024-11-05,buy,5.8688,57,0.0,2024-10-15
2024-10-17,MU.US,call,104.0,2024-11-05,close,10.7329,57,27725.4882,2024-10-15
2024-10-23,MU.US,call,105.0,2024-11-13,buy,5.8587,56,0.0,2024-10-23
2024-10-24,MU.US,call,105.0,2024-11-13,close,6.5851,56,4067.8913,2024-10-23
2024-11-25,MU.US,call,104.0,2024-12-16,buy,4.8341,54,0.0,2024-11-25
2024-11-27,MU.US,call,104.0,2024-12-16,close,1.7555,54,-16624.798,2024-11-25
