timestamp,code,option_type,strike,expiry,side,price,qty,pnl,entry_date
2025-05-06,IONQ.US,call,29.0,2025-05-27,buy,3.2058,100,0.0,2025-05-06
2025-05-07,IONQ.US,call,29.0,2025-05-27,close,2.9686,100,-2372.1804,2025-05-06
2025-05-30,AVGO.US,call,242.0,2025-06-20,buy,8.6799,25,0.0,2025-05-30
2025-06-09,AVGO.US,call,242.0,2025-06-20,close,7.1905,25,-3723.4914,2025-05-30
2025-06-25,MU.US,call,127.0,2025-07-16,buy,4.3487,47,0.0,2025-06-25
2025-06-30,MU.US,call,127.0,2025-07-16,close,1.8647,47,-11674.3616,2025-06-25
2025-07-08,HOOD.US,call,91.0,2025-07-29,buy,5.3781,54,0.0,2025-07-08
2025-07-09,HOOD.US,call,91.0,2025-07-29,close,7.1379,54,9503.3602,2025-07-08
2025-07-11,IONQ.US,call,42.0,2025-08-01,buy,3.0869,100,0.0,2025-07-11
2025-07-11,HOOD.US,call,98.0,2025-08-01,buy,5.7223,54,0.0,2025-07-11
2025-07-14,HOOD.US,call,98.0,2025-08-01,close,6.1547,54,2335.1997,2025-07-11
2025-07-15,IONQ.US,call,42.0,2025-08-01,close,2.3228,100,-7641.4045,2025-07-11
